1	Column1	NewCol1	START	MID	STOP
194	Truck and Equipment Electrical 	Truck and Equipment Electrical 	0	0	0
195	Systems 	Systems 	0	0	0
196	X 186 	X 186 	0	0	0
197	Truck Transmission and Clutches X 186 	Truck Transmission and Clutches X 186 	0	0	0
198	Economics 	Economics 	0	0	0
199	Economics X 191 	Economics X 191 	0	0	0
200	Emergency Medical technician 	Emergency Medical technician 	0	0	0
201	Emergency Medical Technician X 192 	Emergency Medical Technician X 192 	0	0	0
202	English 	English 	0	0	0
203	English X 194 	English X 194 	0	0	0
204	English/Literature Studies X 194 	English/Literature Studies X 194 	0	0	0
205	English for Speakers of other languages (ESol) 	English for Speakers of other languages (ESol) 	0	0	0
206	Advanced ESOL X 196 	Advanced ESOL X 196 	0	0	0
207	Exercise Science 	Exercise Science 	0	0	0
208	Exercise and Nutritional Sciences X 197 	Exercise and Nutritional Sciences X 197 	0	0	0
209	Nutrition and Dietetics X 199 	Nutrition and Dietetics X 199 	0	0	0
210	Kinesiology X 199 	Kinesiology X 199 	0	0	0
211	Fire Protection technology 	Fire Protection technology 	0	0	0
212	Fire Ofcer Certifcation X X 203 	Fire Ofcer Certifcation X X 203 	0	0	0
213	Fire Prevention X X 202 	Fire Prevention X X 202 	0	0	0
214	Fire Technology X X 203 	Fire Technology X X 203 	0	0	0
215	Open Water Lifeguard 	Open Water Lifeguard 	0	0	0
216	Professional 	Professional 	0	0	0
217	X X 203 	X X 203 	0	0	0
218	Seasonal Ocean Lifeguard X 202 	Seasonal Ocean Lifeguard X 202 	0	0	0
219	graphics 	graphics 	0	0	0
220	Graphics X X 206 	Graphics X X 206 	0	0	0
221	Graphics-Visual Production X 206 	Graphics-Visual Production X 206 	0	0	0
222	History 	History 	0	0	0
223	History X 208 	History X 208 	0	0	0
224	Social and Behavioral Sciences X 209 	Social and Behavioral Sciences X 209 	0	0	0
225	Humanities 	Humanities 	0	0	0
226	Humanities Studies X 211 	Humanities Studies X 211 	0	0	0
227	Philosophy X 212 	Philosophy X 212 	0	0	0
228	Degree curricula and certificate Programs 	Degree curricula and certificate Programs 	0	0	0
229	San Diego MiraMar College • 2017–2018 137 	San Diego MiraMar College • 2017–2018 137 	0	0	0
230			0	0	0
231	Degree and certifcate list 	Degree and certifcate list 	0	0	0
232	Degree title a.a. 	Degree title a.a. 	0	0	0
233	Degree 	Degree 	0	0	0
234	a.S. 	a.S. 	0	0	0
235	Degree 	Degree 	0	0	0
236	associate 	associate 	0	0	0
237	Degree for 	Degree for 	0	0	0
238	transfer 	transfer 	0	0	0
239	certifcate of 	certifcate of 	0	0	0
240	achievement 	achievement 	0	0	0
241	certifcate of 	certifcate of 	0	0	0
242	Performance Page 	Performance Page 	0	0	0
243	Interdisciplinary Studies 	Interdisciplinary Studies 	0	0	0
244	CSU General Education - Breadth X 214 	CSU General Education - Breadth X 214 	0	0	0
245	Honors Global Competencies 	Honors Global Competencies 	0	0	0
246	Certifcate 	Certifcate 	0	0	0
247	X 214 	X 214 	0	0	0
248	Intersegmental General 	Intersegmental General 	0	0	0
249	Education Transfer (IGETC) 	Education Transfer (IGETC) 	0	0	0
250	X 214 	X 214 	0	0	0
251	Occupational/Technical Studies X 215 	Occupational/Technical Studies X 215 	0	0	0
252	Sustainability X 215 	Sustainability X 215 	0	0	0
253	Mathematics 	Mathematics 	0	0	0
254	Mathematics X 219 	Mathematics X 219 	0	0	0
255	Mathematics Studies X 218 	Mathematics Studies X 218 	0	0	0
256	Medical laboratory technician training 	Medical laboratory technician training 	0	0	0
257	Medical Laboratory Techology X X 220 	Medical Laboratory Techology X X 220 	0	0	0
258	Medical Laboratory Technician 	Medical Laboratory Technician 	0	0	0
259	Training 	Training 	0	0	0
260	X 220 	X 220 	0	0	0
261	Music 	Music 	0	0	0
262	Audio Production and 	Audio Production and 	0	0	0
263	Engineering 	Engineering 	0	0	0
264	X 221 	X 221 	0	0	0
265	Music Studies X 222 	Music Studies X 222 	0	0	0
266	Paralegal 	Paralegal 	0	0	0
267	Paralegal X X 224 	Paralegal X X 224 	0	0	0
268	Personal training 	Personal training 	0	0	0
269	Personal Training X 225 	Personal Training X 225 	0	0	0
270	Physical Sciences 	Physical Sciences 	0	0	0
271	Earth Science Studies X 226 	Earth Science Studies X 226 	0	0	0
272	Geology X 228 	Geology X 228 	0	0	0
273	Physics X 228 	Physics X 228 	0	0	0
274	Pre-Engineering Studies X 227 	Pre-Engineering Studies X 227 	0	0	0
275	Political Science 	Political Science 	0	0	0
276	Political Science X 230 	Political Science X 230 	0	0	0
277	Psychology 	Psychology 	0	0	0
278	Psychology X 231 	Psychology X 231 	0	0	0
279	Sociology 	Sociology 	0	0	0
280	Sociology X 232 	Sociology X 232 	0	0	0
281	World language Studies 	World language Studies 	0	0	0
282	Filipino Studies X 	Filipino Studies X 	0	0	0
283	Spanish X 236 	Spanish X 236 	0	0	0
284	World Language Studies X 235 	World Language Studies X 235 	0	0	0
285	Yoga 	Yoga 	0	0	0
286	Yoga Teacher X 237 	Yoga Teacher X 237 	0	0	0
287	138 San Diego MiraMar College • 2017–2018 	138 San Diego MiraMar College • 2017–2018 	0	0	0
288			0	0	0
289	accountancy 	accountancy 	0	0	0
290	award type Units 	award type Units 	0	0	0
291	certifcate of Performance: 	certifcate of Performance: 	0	0	0
292	Accounting Bookkeeping 12–13 	Accounting Bookkeeping 12–13 	0	0	0
293	certifcate of achievement: 	certifcate of achievement: 	0	0	0
294	Accountancy 22 	Accountancy 22 	0	0	0
295	associate of Science Degree: 	associate of Science Degree: Accountancy 37* 	1	0	0
296	Accountancy 37* 	Accountancy 37* 	0	0	0
297	* and courses to meet graduation requirements, 	* and courses to meet graduation requirements, 	0	0	0
298	general education and electives as needed to meet 	general education and electives as needed to meet 	0	0	0
299	the minimum of 60 units required for the degree. 	the minimum of 60 units required for the degree. 	0	0	0
300	Program Description 	Program Description 	0	0	0
301	The documentation of business activities is 	The documentation of business activities is 	0	0	0
302	accomplished through accounting. Without accurate 	accomplished through accounting. Without accurate 	0	0	0
303	and timely accounting information businesses do 	and timely accounting information businesses do 	0	0	0
304	not know their fnancial position, who owes them 	not know their fnancial position, who owes them 	0	0	0
305	money, whom they owe money to, or what assets 	money, whom they owe money to, or what assets 	0	0	0
306	they have available for business processes, etc. 	they have available for business processes, etc. 	0	0	0
307	This program addresses the minimum skill 	This program addresses the minimum skill 	0	0	0
308	levels to enter the technical and exacting world 	levels to enter the technical and exacting world 	0	0	0
309	of accountancy. With the basic knowledge of 	of accountancy. With the basic knowledge of 	0	0	0
310	fnancial and managerial accounting, computerized 	fnancial and managerial accounting, computerized 	0	0	0
311	accounting applications, accounting terminology, 	accounting applications, accounting terminology, 	0	0	0
312	and the process and fow of accounting, an 	and the process and fow of accounting, an 	0	0	0
313	individual is ready for entry level positions in service, 	individual is ready for entry level positions in service, 	0	0	0
314	retail, and manufacturing businesses 	retail, and manufacturing businesses 	0	0	0
315	Program learning outcomes 	Program learning outcomes 	0	0	0
316	Students who complete the Accountancy program 	Students who complete the Accountancy program 	0	0	0
317	will be able to: 	will be able to: 	0	0	0
318	• 	• 	0	0	0
319	Demonstrate an understanding of basic 	Demonstrate an understanding of basic 	0	0	0
320	accounting terminology and the process by 	accounting terminology and the process by 	0	0	0
321	which transactions are analyzed, evaluated, and 	which transactions are analyzed, evaluated, and 	0	0	0
322	communicated into the fnancial statements. 	communicated into the fnancial statements. 	0	0	0
323	• 	• 	0	0	0
324	Demonstrate the ability to compute, record, and 	Demonstrate the ability to compute, record, and 	0	0	0
325	verify quantitative and qualitative information in 	verify quantitative and qualitative information in 	0	0	0
326	order to maintain fnancial records. 	order to maintain fnancial records. 	0	0	0
327	• 	• 	0	0	0
328	Create accurate, reliable, and relevant accounting 	Create accurate, reliable, and relevant accounting 	0	0	0
329	documents and reports for decision makers using 	documents and reports for decision makers using 	0	0	0
330	the information. 	the information. 	0	0	0
331	• 	• 	0	0	0
332	Demonstrate efective use of accounting 	Demonstrate efective use of accounting 	0	0	0
333	software applications considered applicable to 	software applications considered applicable to 	0	0	0
334	the current accounting environment. 	the current accounting environment. 	0	0	0
335	• 	• 	0	0	0
336	Understand and practice high ethical standards 	Understand and practice high ethical standards 	0	0	0
337	with internal and external stakeholders. 	with internal and external stakeholders. 	0	0	0
338	career options 	career options 	0	0	0
339	Career options include entry into the accounting 	Career options include entry into the accounting 	0	0	0
340	profession in the felds of: 	profession in the felds of: 	0	0	0
341	• 	• 	0	0	0
342	Small business bookkeeping 	Small business bookkeeping 	0	0	0
343	• 	• 	0	0	0
344	Accounts receivable 	Accounts receivable 	0	0	0
345	• 	• 	0	0	0
346	Accounts payable 	Accounts payable 	0	0	0
347	• 	• 	0	0	0
348	Inventory control 	Inventory control 	0	0	0
349	• 	• 	0	0	0
350	Cost accounting 	Cost accounting 	0	0	0
351	• 	• 	0	0	0
352	Payroll 	Payroll 	0	0	0
353	Faculty ofce telephone/Email 	Faculty ofce telephone/Email 	0	0	0
354	Alan Viersen M-107K 619-388-7693 	Alan Viersen M-107K 619-388-7693 	0	0	0
355	aviersen@sdccd.edu 	aviersen@sdccd.edu 	0	0	0
356	Dawn Diskin M-107P 619-388-7699 	Dawn Diskin M-107P 619-388-7699 	0	0	0
357	ddiskin@sdccd.edu 	ddiskin@sdccd.edu 	0	0	0
358	certifcate of Performance: 	certifcate of Performance: 	0	0	0
359	accounting Bookkeeping 	accounting Bookkeeping 	0	0	0
360	courses: Units 	courses: Units 	0	0	0
361	ACCT 102 Basic Accounting 3 	ACCT 102 Basic Accounting 3 	0	0	0
362	or 	or 	0	0	0
363	ACCT 116A Financial Accounting 4 	ACCT 116A Financial Accounting 4 	0	0	0
364	ACCT 150 Computer Accounting Applications 3 	ACCT 150 Computer Accounting Applications 3 	0	0	0
365	BUSE 101 Business Mathematics 3 	BUSE 101 Business Mathematics 3 	0	0	0
366	CBTE 143 Intermediate Microsoft Excel 3 	CBTE 143 Intermediate Microsoft Excel 3 	0	0	0
367	total Units = 12–13 	total Units = 12–13 	0	0	3
368	*A Certifcate of Performance is a departmental 	*A Certifcate of Performance is a departmental 	0	0	0
369	award that does not appear on the student’s 	award that does not appear on the student’s 	0	0	0
370	transcript. All courses must be completed within the 	transcript. All courses must be completed within the 	0	0	0
371	San Diego Community College District. 	San Diego Community College District. 	0	0	0
372	certifcate of achievement: 	certifcate of achievement: 	0	0	0
373	accountancy 	accountancy 	0	0	0
374	General knowledge of fnancial and managerial 	General knowledge of fnancial and managerial 	0	0	0
375	accounting in a technological environment as well 	accounting in a technological environment as well 	0	0	0
376	as introductory knowledge of inventory, cost, and 	as introductory knowledge of inventory, cost, and 	0	0	0
377	payroll accounting. 	payroll accounting. 	0	0	0
378	courses: Units 	courses: Units 	0	0	0
379	ACCT 116A 	ACCT 116A 	0	0	0
380	ACCT 116B 	ACCT 116B 	0	0	0
381	Financial Accounting 	Financial Accounting 	0	0	0
382	Managerial Accounting 	Managerial Accounting 	0	0	0
383	4	4	0	0	0
384	4	4	0	0	0
385	ACCT 120 Federal Income Tax 3 	ACCT 120 Federal Income Tax 3 	0	0	0
386	ACCT 121 California Income Tax 1 	ACCT 121 California Income Tax 1 	0	0	0
387	ACCT 150 Computer Accounting Applications 3 	ACCT 150 Computer Accounting Applications 3 	0	0	0
388	ACCT 201A Intermediate Accounting I 3 	ACCT 201A Intermediate Accounting I 3 	0	0	0
389	CISC 181 Principles of Information Systems 4 	CISC 181 Principles of Information Systems 4 	0	0	0
390	total Units = 22 	total Units = 22 	0	0	3
391	accountancy 	accountancy 	0	0	0
392	San Diego MiraMar College • 2017–2018 139 	San Diego MiraMar College • 2017–2018 139 	0	0	0
393			0	0	0
394	associate of Science Degree: 	associate of Science Degree: accountancy 	1	0	0
395	accountancy 	accountancy 	0	0	0
396	General knowledge of fnancial and managerial 	General knowledge of fnancial and managerial 	0	0	0
397	accounting in a technological environment as well 	accounting in a technological environment as well 	0	0	0
398	as introductory knowledge of inventory, cost, and 	as introductory knowledge of inventory, cost, and 	0	0	0
399	payroll accounting. 	payroll accounting. 	0	0	0
400	courses Required for the Major: Units 	courses Required for the Major: Units 	0	2	0
401	ACCT 116A Financial Accounting 4 	ACCT 116A Financial Accounting 4 	0	0	0
402	ACCT 116B Managerial Accounting 4 	ACCT 116B Managerial Accounting 4 	0	0	0
403	ACCT 120 Federal Income Tax 3 	ACCT 120 Federal Income Tax 3 	0	0	0
404	ACCT 121 California Income Tax 1 	ACCT 121 California Income Tax 1 	0	0	0
405	ACCT 150 Computer Accounting Applications 3 	ACCT 150 Computer Accounting Applications 3 	0	0	0
406	ACCT 201A Intermediate Accounting I 3 	ACCT 201A Intermediate Accounting I 3 	0	0	0
407	BUSE 100 Introduction to Business 3 	BUSE 100 Introduction to Business 3 	0	0	0
408	BUSE 119 Business Communications 3 	BUSE 119 Business Communications 3 	0	0	0
409	BUSE 140 Business Law and the Legal 	BUSE 140 Business Law and the Legal 	0	0	0
410	Environment 3 	Environment 3 	0	0	0
411	CISC 181 Principles of Information Systems 4 	CISC 181 Principles of Information Systems 4 	0	0	0
412	ECON 120 Principles of Macroeconomics 3 	ECON 120 Principles of Macroeconomics 3 	0	0	0
413	ECON 121 Principles of Microeconomics 3 	ECON 121 Principles of Microeconomics 3 	0	0	0
414	total Units = 37 	total Units = 37 	0	0	3
415	For graduation requirements, see Requirements for 	For graduation requirements, see Requirements for 	0	0	0
416	the associate Degree on page 86. 	the associate Degree on page 86. 	0	0	0
417	Electives as needed to meet minimum of 60 units 	Electives as needed to meet minimum of 60 units 	0	0	0
418	required for the degree. 	required for the degree. 	0	0	0
419	Recommended Electives: Business 150, 201; 	Recommended Electives: Business 150, 201; 	0	0	0
420	Communication Studies 135; Computer Business 	Communication Studies 135; Computer Business 	0	0	0
421	Technology 140; Psychology 101. 	Technology 140; Psychology 101. 	0	0	0
422	Semester Sequence Units 	Semester Sequence Units 	0	0	0
423	First 	First 	0	0	0
424	ACCT 116A Financial Accounting 4 	ACCT 116A Financial Accounting 4 	0	0	0
425	BUSE 100 Introduction to Business 3 	BUSE 100 Introduction to Business 3 	0	0	0
426	BUSE 119 Business Communications 3 	BUSE 119 Business Communications 3 	0	0	0
427	Second 	Second 	0	0	0
428	ACCT 116B Managerial Accounting 4 	ACCT 116B Managerial Accounting 4 	0	0	0
429	BUSE 140 Business Law and the Legal 	BUSE 140 Business Law and the Legal 	0	0	0
430	Environment 3 	Environment 3 	0	0	0
431	CISC 181 Principles of Information Systems 4 	CISC 181 Principles of Information Systems 4 	0	0	0
432	third 	third 	0	0	0
433	ACCT 150 Computer Accounting Applications 3 	ACCT 150 Computer Accounting Applications 3 	0	0	0
434	ACCT 201A Intermediate Accounting I 3 	ACCT 201A Intermediate Accounting I 3 	0	0	0
435	ECON 120 Principles of Macroeconomics 3 	ECON 120 Principles of Macroeconomics 3 	0	0	0
436	Fourth 	Fourth 	0	0	0
437	ACCT 120 Federal Income Tax 3 	ACCT 120 Federal Income Tax 3 	0	0	0
438	ACCT 121 California Income Tax 1 	ACCT 121 California Income Tax 1 	0	0	0
439	ECON 121 Principles of Microeconomics 3 	ECON 121 Principles of Microeconomics 3 	0	0	0
440	administration of 	administration of 	0	0	0
441	Justice 	Justice 	0	0	0
442	award type Units 	award type Units 	0	0	0
443	certifcate of Performance: 	certifcate of Performance: 	0	0	0
444	P.C. 832 Laws of Arrest 1 	P.C. 832 Laws of Arrest 1 	0	0	0
445	P.C. 832 Laws of Arrest – Firearms 0.5 	P.C. 832 Laws of Arrest – Firearms 0.5 	0	0	0
446	Transportation Security 9 	Transportation Security 9 	0	0	0
447	certifcate of achievement: 	certifcate of achievement: 	0	0	0
448	Advanced Trafc Accident Investigation 29.7 	Advanced Trafc Accident Investigation 29.7 	0	0	0
449	Contemporary Police Technologies 34.5 	Contemporary Police Technologies 34.5 	0	0	0
450	Correctional Technologies 29.5 	Correctional Technologies 29.5 	0	0	0
451	Investigations Specialization 33 	Investigations Specialization 33 	0	0	0
452	Law Enforcement 33 	Law Enforcement 33 	0	0	0
453	Law Enforcement Supervision 27 	Law Enforcement Supervision 27 	0	0	0
454	Law Enforcement Technologies 25.5 	Law Enforcement Technologies 25.5 	0	0	0
455	Technical Achievement for Field 	Technical Achievement for Field 	0	0	0
456	Training Ofcers 30 	Training Ofcers 30 	0	0	0
457	associate of Science Degree: 	associate of Science Degree: Contemporary Police Technologies 34.5* 	1	0	0
458	Contemporary Police Technologies 34.5* 	Contemporary Police Technologies 34.5* 	0	0	0
459	Correctional Technologies 29.5* 	Correctional Technologies 29.5* 	0	0	0
460	Investigations Specialization 33* 	Investigations Specialization 33* 	0	0	0
461	Law Enforcement 33* 	Law Enforcement 33* 	0	0	0
462	Occupational/Technical Studies 18* 	Occupational/Technical Studies 18* 	0	0	0
463	(see page 215) 	(see page 215) 	0	0	0
464	* and courses to meet graduation requirements, 	* and courses to meet graduation requirements, 	0	0	0
465	general education and electives as needed to meet 	general education and electives as needed to meet 	0	0	0
466	the minimum of 60 units required for the degree. 	the minimum of 60 units required for the degree. 	0	0	0
